NCTId;LeadSponsorName;LeadSponsorClass;CollaboratorName;CollaboratorClass;Condition;StudyType;OverallOfficialName;OverallOfficialAffiliation;OverallOfficialRole;ResponsiblePartyType;ResponsiblePartyInvestigatorFullName;ResponsiblePartyInvestigatorAffiliation;ResponsiblePartyInvestigatorTitle
NCT00909818;Danish Breast Cancer Cooperative Group;OTHER;['Danish Cancer Society'];['OTHER'];['Breast Cancer', 'Carcinoma in Situ of the Breast'];Interventional;Andreas Schreiber, M.D., Ph.D.;Praxis für Strahlentherapie am Klinikum Dresden-Friedrichstadt;Study Chair;Principal Investigator;Birgitte Offersen;Danish Breast Cancer Cooperative Group;M.D., ph.d., associate professor
NCT00909818;Danish Breast Cancer Cooperative Group;OTHER;['Danish Cancer Society'];['OTHER'];['Breast Cancer', 'Carcinoma in Situ of the Breast'];Interventional;Ingvil Mjaaland, M.D.;Helse Stavanger HF, Sorlandet Sykehus HF;Study Chair;Principal Investigator;Birgitte Offersen;Danish Breast Cancer Cooperative Group;M.D., ph.d., associate professor
NCT00909818;Danish Breast Cancer Cooperative Group;OTHER;['Danish Cancer Society'];['OTHER'];['Breast Cancer', 'Carcinoma in Situ of the Breast'];Interventional;Unn-Miriam Kasti, M.D.;Kristiansand Sykehus;Study Chair;Principal Investigator;Birgitte Offersen;Danish Breast Cancer Cooperative Group;M.D., ph.d., associate professor
NCT00909909;Rutgers, The State University of New Jersey;OTHER;['Rutgers Cancer Institute of New Jersey'];['OTHER'];['Breast Cancer'];Interventional;Bruce Haffty, MD;Rutgers Cancer Institute of New Jersey;Principal Investigator;Principal Investigator;Bruce G Haffty;Rutgers, The State University of New Jersey;Professor and Chairman, Department of Radiation Oncology
NCT00910884;Brabant Research;INDUSTRY;;;['Breast Cancer'];Observational;Richard E. Lasker, PhD;Brabant Research;Principal Investigator;Principal Investigator;Dr. Richard Lasker;Brabant Research;Director
NCT00911456;British Columbia Cancer Agency;OTHER;;;['Radiation Therapy for Primary Breast Cancer'];Interventional;Tanya Berrang;British Columbia Cancer Agency;Principal Investigator;;;;
NCT00911716;Cancer Trials Ireland;NETWORK;;;['Breast Cancer'];Interventional;Cancer Trials Ireland Dublin 11, Ireland, MD;Cancer Trials Ireland;Study Director;Sponsor;;;
NCT00911898;Merrimack Pharmaceuticals;INDUSTRY;;;['Her2 Amplified Solid Tumors', 'Metastatic Breast Cancer'];Interventional;Muralidhar Beeram, MD;The START Center for Cancer Care;Principal Investigator;Sponsor;;;
NCT00911911;Centre Oscar Lambret;OTHER;;;['Breast Cancer'];Interventional;BONNETERRE Jacques, MD, PhD;Centre Oscar Lambret;Principal Investigator;Sponsor;;;
NCT00912080;Institut Paoli-Calmettes;OTHER;;;['Breast Cancer'];Interventional;Jean-Marc EXTRA, MD;Institut Paoli-Calmettes;Principal Investigator;Sponsor;;;
NCT00912275;National Taiwan University Hospital;OTHER;['GlaxoSmithKline'];['INDUSTRY'];['Metastatic Breast Cancer'];Interventional;Yen-Shen Lu, M.D.,Ph.D;Department of Oncology,National Taiwan University Hospital;Principal Investigator;Sponsor;;;
NCT00912340;Emory University;OTHER;['Novartis Pharmaceuticals'];['INDUSTRY'];['Breast Cancer'];Interventional;Elisavet Paplomata, MD;Emory University Winship Cancer Institute;Principal Investigator;Principal Investigator;Elisavet Paplomata;Emory University;Principal Investigator
NCT00912444;Shanghai Jiao Tong University School of Medicine;OTHER;;;['Breast Cancer'];Interventional;Kunwei Shen;Shanghai Jiao Tong University School of Medicine;Principal Investigator;Principal Investigator;Kunwei Shen;Shanghai Jiao Tong University School of Medicine;Professor
NCT00912548;Korean Breast Cancer Study Group;OTHER;;;['Breast Cancer'];Interventional;Woo-Chul Noh, MD.PhD;Department of Surgery, Korea Cancer Center Hospital, 215-4 Gongneung-dong, Nowon-gu, Seoul, Korea;Principal Investigator;;;;
NCT00912639;Korean Breast Cancer Study Group;OTHER;;;['Recurrent Breast Cancer'];Interventional;Byung-Joo Song, MD.PhD.;The Catholoic university of Korea, St. Mary's hospital.;Principal Investigator;;;;
NCT00912938;Korean Breast Cancer Study Group;OTHER;;;['Metastatic Breast Cancer'];Interventional;Jae Bok Lee, MD.PhD;Department of Surgery, Korea University Guro Hospital, South Korea;Principal Investigator;;;;
NCT00913016;Korean Breast Cancer Study Group;OTHER;;;['Breast Cancer'];Observational;Sehwan Han, MD.PhD.;Department of Surgery, Breast Cancer Center,Inje University Paik Hospital, South Korea;Principal Investigator;;;;
NCT00914017;University of Vermont;OTHER;['Cancer and Leukemia Group B'];['NETWORK'];['Breast Cancer'];Interventional;Marie E Wood, MD;University of Vermont;Principal Investigator;;;;
NCT00914043;NSABP Foundation Inc;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Fatigue'];Observational;Norman Wolmark, MD;NSABP Foundation Inc;Principal Investigator;Sponsor;;;
NCT00915018;Puma Biotechnology, Inc.;INDUSTRY;;;['Breast Cancer'];Interventional;Puma;Biotechnology;Study Director;Sponsor;;;
NCT00915603;SCRI Development Innovations, LLC;OTHER;['Novartis'];['INDUSTRY'];['Metastatic Breast Cancer'];Interventional;Denise A. Yardley, M.D.;SCRI Development Innovations, LLC;Study Chair;Sponsor;;;
NCT00916162;Massachusetts General Hospital;OTHER;['Dana-Farber Cancer Institute'];['OTHER'];['Breast Cancer'];Observational;Paul Goss, MD, PhD;Massachusetts General Hospital;Principal Investigator;Principal Investigator;Paul Goss, MD, PhD;Massachusetts General Hospital;Professor of Medicine, Harvard Medical School
NCT00916578;M.D. Anderson Cancer Center;OTHER;;;['Breast Cancer'];Interventional;Wendy Woodward, MD, PHD;UT MD Anderson Cancer Center;Study Chair;Sponsor;;;
NCT00916825;Philipps University Marburg Medical Center;OTHER;['Rexrodt von Fircks Foundation'];['UNKNOWN'];['Breast Cancer'];Interventional;Fritz Mattejat, PhD;Philipps University Marburg Medical Center, Dept. of Child and Adolescent Psychiatry;Study Director;Sponsor;;;
NCT00916825;Philipps University Marburg Medical Center;OTHER;['Rexrodt von Fircks Foundation'];['UNKNOWN'];['Breast Cancer'];Interventional;Katja J John, DP (MA);Philipps University Marburg Medical Center, Dept. of Child and Adolescent Psychiatry;Principal Investigator;Sponsor;;;
NCT00917735;University of Minnesota;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Mindy S Kurzer, Ph.D;University of Minnesota;Principal Investigator;Sponsor;;;
NCT00917748;Sanofi;INDUSTRY;;;['Prostatic Neoplasms', 'Breast Cancer'];Interventional;Rosanna DUFFY;Sanofi;Study Director;Sponsor;;;
NCT00918216;Case Comprehensive Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Observational;Maryann Fitzmaurice, MD;Case Medical Center, University Hospitals Seidman Cancer Center, Case Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00918281;GE Healthcare;INDUSTRY;['i3 Statprobe'];['INDUSTRY'];['Solid Tumors', 'High Grade Gliomas', 'Lung Cancer', 'Head and Neck Cancer', 'Sarcoma', 'Renal Cell Carcinoma', 'Breast Cancer'];Interventional;Jeffrey Winick, Ph.D.;GE Healthcare;Principal Investigator;Sponsor;;;
NCT00918788;Case Comprehensive Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Observational;Maryann Fitzmaurice, MD;Case Medical Center, University Hospitals Seidman Cancer Center, Case Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00918892;Case Comprehensive Cancer Center;OTHER;;;['Breast Cancer'];Observational;Stefanie Avril, MD;University Hospitals Cleveland Medical Center, Case Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00919880;Tao OUYANG;OTHER;;;['Breast Cancer'];Interventional;Tianfeng Wang, Doctor;Beijing Cancer Hospital Breast Center;Study Chair;Sponsor-Investigator;Tao OUYANG;Peking University;Chairman of Breast Center
NCT00921115;University of Kansas Medical Center;OTHER;['AstraZeneca'];['INDUSTRY'];['Invasive Breast Cancer'];Interventional;Qamar Khan, MD;University of Kansas Medical Center;Principal Investigator;Sponsor;;;
NCT00922961;Centre Oscar Lambret;OTHER;;;['Breast Cancer'];Interventional;Yazid BELKACEMI, MD;Centre Oscar Lambret;Principal Investigator;Sponsor;;;
NCT00923052;National Cancer Institute (NCI);NIH;;;['Hepatic Cancer', 'Pancreatic Ductal Cancer', 'Colorectal Cancer', 'Breast Cancer', 'Gastric Cancer'];Observational;Udo Rudloff, M.D.;National Cancer Institute (NCI);Principal Investigator;Sponsor;;;
NCT00923104;National Cancer Institute (NCI);NIH;;;['Breast Cancer', 'Healthy Volunteer', 'Prostate Cancer'];Observational;Deborah E Citrin, M.D.;National Cancer Institute (NCI);Principal Investigator;Sponsor;;;
NCT00923520;National Cancer Institute (NCI);NIH;;;['Renal Cell Carcinoma', 'Breast Cancer', 'Colon Cancer', 'Lung Cancer', 'Non-Hodgkin Lymphoma'];Interventional;Anish Thomas, M.D.;National Cancer Institute (NCI);Principal Investigator;Sponsor;;;
NCT00923871;University Health Network, Toronto;OTHER;['Princess Margaret Hospital, Canada'];['OTHER'];['Breast Cancer'];Interventional;Anne Koch, MD;University Health Network, Princess Margaret Hospital;Principal Investigator;Sponsor;;;
NCT00924092;National Cancer Institute (NCI);NIH;;;['Prostate Cancer', 'Breast Cancer', 'Lung Cancer', 'Colorectal Cancer', 'Head and Neck Cancer'];Interventional;Ravi A Madan, M.D.;National Cancer Institute (NCI);Principal Investigator;;;;
NCT00924352;Accelerated Community Oncology Research Network;OTHER;['Bristol-Myers Squibb'];['INDUSTRY'];['Metastatic Breast Cancer'];Interventional;Lee S. Schwartzberg, MD, FACP;The West Clinic;Study Chair;Sponsor;;;
NCT00925405;M.D. Anderson Cancer Center;OTHER;;;['Breast Cancer'];Observational;Bouthaina Dabaja, MD;UT MD Anderson Cancer Center;Study Chair;Sponsor;;;
NCT00925548;EMD Serono;INDUSTRY;;;['Breast Cancer'];Interventional;Oscar Kashala, MD, PhD, DSc;EMD Serono;Study Director;Sponsor;;;
NCT00925652;Dana-Farber Cancer Institute;OTHER;['Genentech, Inc.'];['INDUSTRY'];['Breast Cancer'];Interventional;Erica Mayer, MD;Dana-Farber Cancer Institute;Study Chair;Principal Investigator;Erica Mayer, MD, MPH;Dana-Farber Cancer Institute;Erica Mayer, M.D.
NCT00927511;Regina Elena Cancer Institute;OTHER;['AstraZeneca'];['INDUSTRY'];['Breast Cancer'];Interventional;Paola Papaldo, MD;Regina Elena Cancer Institute;Principal Investigator;;;;
NCT00928330;Genentech, Inc.;INDUSTRY;;;['Metastatic Breast Cancer'];Interventional;Clinical Trials;Genentech, Inc.;Study Director;Sponsor;;;
NCT00929084;Washington University School of Medicine;OTHER;;;['Breast Cancer'];Interventional;Donna B Jeffe, PhD;Washington University School of Medicine;Principal Investigator;Principal Investigator;Donna Jeffe;Washington University School of Medicine;Professor of Medicine, Director, Health Behavior, Communication and Outreach
NCT00929214;M.D. Anderson Cancer Center;OTHER;;;['Breast Cancer'];Interventional;Eric A. Strom, MD, BS;M.D. Anderson Cancer Center;Principal Investigator;Sponsor;;;
NCT00929240;Hoffmann-La Roche;INDUSTRY;;;['Breast Cancer'];Interventional;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT00929591;Southwest Oncology Group;NETWORK;['NCIC Clinical Trials Group'];['NETWORK'];['Breast Cancer'];Interventional;Kathy S. Albain, MD;Loyola University;Study Chair;Sponsor;;;
NCT00929591;Southwest Oncology Group;NETWORK;['NCIC Clinical Trials Group'];['NETWORK'];['Breast Cancer'];Interventional;Charles D. Cobau, MD;Flower Hospital Cancer Center;Study Chair;Sponsor;;;
NCT00929591;Southwest Oncology Group;NETWORK;['NCIC Clinical Trials Group'];['NETWORK'];['Breast Cancer'];Interventional;James N. Ingle, MD;Mayo Clinic;Study Chair;Sponsor;;;
NCT00929591;Southwest Oncology Group;NETWORK;['NCIC Clinical Trials Group'];['NETWORK'];['Breast Cancer'];Interventional;Ellis G. Levine, MD;Roswell Park Cancer Institute;Study Chair;Sponsor;;;
NCT00929591;Southwest Oncology Group;NETWORK;['NCIC Clinical Trials Group'];['NETWORK'];['Breast Cancer'];Interventional;Kathleen I. Pritchard, MD;Toronto Sunnybrook Regional Cancer Centre;Study Chair;Sponsor;;;
NCT00929617;University of Alabama at Birmingham;OTHER;['Southern Illinois University'];['OTHER'];['Breast Cancer'];Interventional;Laura Q. Rogers, MD, MPH;University of Alabama at Birmingham;Principal Investigator;Principal Investigator;Laura Q. Rogers, MD, MPH;University of Alabama at Birmingham;Professor
NCT00930527;Columbia University;OTHER;['GlaxoSmithKline'];['INDUSTRY'];['Breast Cancer'];Interventional;Dawn Hershman, MD;Columbia University;Principal Investigator;Principal Investigator;Dawn L. Hershman;Columbia University;Associate Professor of Medicine & Epidemiology
NCT00930579;Columbia University;OTHER;['Breast Cancer Research Foundation'];['OTHER'];['Breast Cancer'];Interventional;Dawn L Hershman, MD;Columbia University;Principal Investigator;Principal Investigator;Dawn L. Hershman;Columbia University;Associate Professor of Medicine & Epidemiology
NCT00930930;Vanderbilt-Ingram Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Ingrid Mayer, M.D.;Vanderbilt-Ingram Cancer Center;Principal Investigator;Principal Investigator;Ingrid Mayer, MD;Vanderbilt-Ingram Cancer Center;"Assistant Professor of Medicine; Clinical Director, Breast Cancer Program; Medical Oncologist"
NCT00931450;Institut Català d'Oncologia;OTHER;;;['Breast Cancer'];Interventional;Sonia Pernas, MD;Institut Català d'Oncologia;;;;;
NCT00932035;City of Hope Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Steven Chen, MD;City of Hope Medical Center;Principal Investigator;Sponsor;;;
NCT00932373;Genentech, Inc.;INDUSTRY;;;['Metastatic Breast Cancer'];Interventional;Scott Holden, M.D.;Genentech, Inc.;Study Director;Sponsor;;;
NCT00932997;City of Hope Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Cancer Survivor', 'Psychosocial Effects of Cancer and Its Treatment'];Interventional;Kimlin Ashing-Giwa, PhD;City of Hope Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00933088;NYU Langone Health;OTHER;;;['Breast Cancer'];Observational;Yelena Novik, MD;NYU Langone Health;Principal Investigator;Sponsor;;;
NCT00933309;M.D. Anderson Cancer Center;OTHER;['Susan G. Komen Breast Cancer Foundation'];['OTHER'];['Breast Cancer'];Interventional;Francisco J. Esteva, MD, PhD;UT MD Anderson Cancer Center;Study Chair;Sponsor;;;
NCT00934856;Hoffmann-La Roche;INDUSTRY;;;['Breast Cancer'];Interventional;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT00934895;Rutgers, The State University of New Jersey;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Deborah L. Toppmeyer, MD;Rutgers Cancer Institute of New Jersey;Principal Investigator;Principal Investigator;Deborah Toppmeyer, MD;Rutgers, The State University of New Jersey;Professor, CINJ
NCT00935233;Queen Mary University of London;OTHER;;;['Breast Cancer'];Observational;Rebecca Roylance, MD;Barts and the London School of Medicine and Dentistry;Principal Investigator;;;;
NCT00935233;Queen Mary University of London;OTHER;;;['Breast Cancer'];Observational;Elinor Sawyer, MD;Cancer Research UK;;;;;
NCT00935558;Inge Marie Svane;OTHER;;;['Breast Cancer'];Interventional;Inge Marie Svane, prof MD;"Department of Oncology, Copenhagen University Hospital, Herlev, Herlev Ringvej 75, DK-2730 Herlev; Denmark";Study Director;Sponsor-Investigator;Inge Marie Svane;Herlev Hospital;Prof, MD, PhD
NCT00936442;AstraZeneca;INDUSTRY;['Aardex Pharmionic'];['INDUSTRY'];['Breast Cancer'];Observational;Prof. Nogaret;Jules Bordet Institute;Principal Investigator;Sponsor;;;
NCT00937417;Southwest Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Head and Neck Cancer', 'Lung Cancer', 'Prostate Cancer', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;Monica Mita, MD;Cancer Therapy and Research Center, Texas;Study Chair;Sponsor;;;
NCT00937482;National Cancer Institute (NCI);NIH;;;['Male Breast Cancer', 'Stage IV Breast Cancer', 'Stage IV Melanoma', 'Stage IV Non-small Cell Lung Cancer', 'Stage IV Renal Cell Cancer', 'Stage IVA Colon Cancer', 'Stage IVA Rectal Cancer', 'Stage IVB Colon Cancer', 'Stage IVB Rectal Cancer', 'Tumors Metastatic to Brain'];Interventional;April Eichler;Massachusetts General Hospital;Principal Investigator;Sponsor;;;
NCT00937989;City of Hope Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Rebecca Crane-Okada, PhD;City of Hope Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00938171;Mackay Memorial Hospital;OTHER;['National Science Council, Taiwan'];['OTHER_GOV'];['Breast Cancer'];Interventional;YuanChing Chang, MD;Mackay Memorial Hospital;Principal Investigator;;;;
NCT00938652;Sanofi;INDUSTRY;;;['Breast Cancer'];Interventional;Clinical Sciences & Operations;Sanofi;Study Director;Sponsor;;;
NCT00938756;Centre Oscar Lambret;OTHER;;;['Brain and Central Nervous System Tumors', 'Breast Cancer', 'Metastatic Cancer'];Interventional;Emilie Le Rhun;Centre Oscar Lambret;Principal Investigator;;;;
NCT00940199;Walter Reed Army Medical Center;FED;;;['Breast Cancer'];Observational;Alexander Stojadinovic, M.D.;Walter Reed Army Medical Center;Principal Investigator;;;;
NCT00940277;Fox Chase Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Sharon L Manne, PhD;Fox Chase Cancer Center;Principal Investigator;Sponsor;;;
NCT00941330;Emory University;OTHER;['Pfizer'];['INDUSTRY'];['Breast Cancer'];Interventional;Elisavet Paplomata, MD;Emory University Winship Cancer Institute;Principal Investigator;Principal Investigator;Elisavet Paplomata;Emory University;MD
NCT00941759;Memorial Sloan Kettering Cancer Center;OTHER;['University of Michigan'];['OTHER'];['Breast Cancer'];Observational;Monica Morrow, MD;Memorial Sloan Kettering Cancer Center;Principal Investigator;Sponsor;;;
NCT00942396;Planmed Oy;INDUSTRY;;;['Breast Cancer'];Interventional;Sami Tohka, PhD;Planmed Oy;Study Director;;;;
NCT00943241;Mayo Clinic;OTHER;['Gamma Medica-Ideas'];['INDUSTRY'];['Breast Cancer'];Observational;Deborah J. Rhodes, M.D.;Mayo Clinic;Principal Investigator;Principal Investigator;Deborah Rhodes;Mayo Clinic;Assistant Professor of Medicine
NCT00943410;UNC Lineberger Comprehensive Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Carolyn Sartor, MD;UNC Lineberger Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00943644;Mayo Clinic;OTHER;['Susan G. Komen Breast Cancer Foundation'];['OTHER'];['Breast Cancer'];Observational;Michael K. O'Connor, Ph.D.;Mayo Clinic;Principal Investigator;;;;
NCT00943644;Mayo Clinic;OTHER;['Susan G. Komen Breast Cancer Foundation'];['OTHER'];['Breast Cancer'];Observational;Deborah J. Rhodes, M.D.;Mayo Clinic;Principal Investigator;;;;
NCT00943644;Mayo Clinic;OTHER;['Susan G. Komen Breast Cancer Foundation'];['OTHER'];['Breast Cancer'];Observational;Douglas A. Collins, M.D.;Mayo Clinic;Principal Investigator;;;;
NCT00943644;Mayo Clinic;OTHER;['Susan G. Komen Breast Cancer Foundation'];['OTHER'];['Breast Cancer'];Observational;Carrie B. Hruska, Ph.D.;Mayo Clinic;Principal Investigator;;;;
NCT00943670;Genentech, Inc.;INDUSTRY;;;['Metastatic Breast Cancer'];Interventional;Steve Olsen, M.D.;Genentech, Inc.;Study Director;Sponsor;;;
NCT00944047;University of Kansas Medical Center;OTHER;['Celgene Corporation'];['INDUSTRY'];['Breast Cancer'];Interventional;Qamar Khan, MD;University of Kansas Medical Center Cancer Center;Principal Investigator;Sponsor;;;
NCT00944424;King Faisal Specialist Hospital & Research Center;OTHER;;;['Breast Cancer'];Interventional;Taher Al-Tweigeri, MD;KFSHRC;Principal Investigator;Sponsor;;;
NCT00944424;King Faisal Specialist Hospital & Research Center;OTHER;;;['Breast Cancer'];Interventional;Dahish Ajarim, MD;KFSHRC;Study Director;Sponsor;;;
NCT00944528;Duke University;OTHER;;;['Breast Cancer'];Interventional;Rachel Blitzblau, MD PhD;Duke University Medical Center, Dept of Radiation Oncology;Principal Investigator;Sponsor;;;
NCT00945061;Case Comprehensive Cancer Center;OTHER;;;['Breast Cancer'];Interventional;Janice Lyons, MD;University Hospitals Cleveland Medical Center, Seidman Cancer Center, Case Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00945464;Scripps Translational Science Institute;OTHER;;;['Breast Cancer'];Observational;Eric J Topol, MD;Scripps Translational Science Institute and Genomic Medicine;Principal Investigator;Principal Investigator;Eric Topol, MD;Scripps Translational Science Institute;Director, Scripps Translational Science Institute
NCT00945607;Trinitas Comprehensive Cancer Center;OTHER;['Aptium Oncology Research Network'];['NETWORK'];['Breast Cancer'];Interventional;Carol S Blecher, RN, MS, AOCN, APNC;Trinitas Comprehensive Cancer Center;Principal Investigator;;;;
NCT00945607;Trinitas Comprehensive Cancer Center;OTHER;['Aptium Oncology Research Network'];['NETWORK'];['Breast Cancer'];Interventional;Sharon Kurtz, RN, BSN, C.Ht.;Trinitas Comprehensive Cancer Center;Principal Investigator;;;;
NCT00946283;Rutgers, The State University of New Jersey;OTHER;['Rutgers Cancer Institute of New Jersey'];['OTHER'];['Breast Cancer', 'Chronic Myeloproliferative Disorders', 'Leukemia', 'Lymphoma', 'Multiple Myeloma and Plasma Cell Neoplasm', 'Myelodysplastic Syndromes', 'Myelodysplastic/Myeloproliferative Neoplasms', 'Neuroblastoma', 'Ovarian Cancer', 'Testicular Germ Cell Tumor'];Interventional;Roger Strair, MD, PhD;Rutgers Cancer Institute of New Jersey;Principal Investigator;Sponsor;;;
NCT00948285;Texas Tech University Health Sciences Center;OTHER;;;['Breast Cancer'];Interventional;Rakhshanda L Rahman, MD;Texas Tech University Health Sciences Center;Principal Investigator;Sponsor;;;
NCT00948701;The Miriam Hospital;OTHER;['American Cancer Society, Inc.'];['OTHER'];['Breast Cancer'];Interventional;Bernardine M. Pinto, Ph.D.;The Miriam Hospital;Principal Investigator;Principal Investigator;Bernardine M. Pinto;The Miriam Hospital;Professor
NCT00949013;Southwest Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Observational;Daniel F. Hayes, MD;University of Michigan Rogel Cancer Center;Study Chair;Sponsor;;;
NCT00949247;Case Comprehensive Cancer Center;OTHER;;;['Breast Cancer'];Interventional;Joseph Baar, MD, PhD;Case Medical Center, University Hospitals Seidman Cancer Center, Case Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00949247;Case Comprehensive Cancer Center;OTHER;;;['Breast Cancer'];Interventional;Thomas Budd, MD;Cleveland Clinic Taussig Cancer Institute, Case Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00949598;Institut du Cancer de Montpellier - Val d'Aurelle;OTHER;;;['Breast Cancer'];Interventional;Philippe Rouanet, MD, PhD;Institut du Cancer de Montpellier - Val d'Aurelle;Principal Investigator;Sponsor;;;
NCT00949871;City of Hope Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Cancer Survivor'];Interventional;Kimlin Ashing-Giwa, PhD;City of Hope Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT00949923;University of Southern California;OTHER;;;['Incident Breast Cancer'];Interventional;Anna Wu, PhD;University of Southern California;Principal Investigator;Sponsor;;;
NCT00950300;Hoffmann-La Roche;INDUSTRY;;;['Breast Cancer'];Interventional;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT00950911;Amgen;INDUSTRY;;;['Bone Metastases in Men With Hormone-Refractory Prostate Cancer', 'Bone Metastases in Subjects With Advanced Breast Cancer', 'Bone Metastases in Subjects With Advanced Cancer or Multiple Myeloma'];Interventional;MD;Amgen;Study Director;Sponsor;;;
NCT00951054;Nippon Kayaku Co., Ltd.;INDUSTRY;;;['Triple Negative Breast Cancer'];Interventional;Denise A Yardley, MD;SCRI Development Innovations, LLC;Principal Investigator;Sponsor;;;
NCT00951665;Genentech, Inc.;INDUSTRY;;;['Metastatic Breast Cancer'];Interventional;Clinical Trials;Genentech, Inc.;Study Director;Sponsor;;;
NCT00952692;Michael Morse, MD;OTHER;['GlaxoSmithKline'];['INDUSTRY'];['Metastatic Breast Cancer'];Interventional;Michael Morse, MD;Duke University;Principal Investigator;Sponsor-Investigator;Michael Morse, MD;Duke University;Associate Professor
NCT00952731;Northwestern University;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Ductal Breast Carcinoma in Situ', 'Estrogen Receptor-positive Breast Cancer'];Interventional;Seema Khan;Northwestern University;Principal Investigator;Principal Investigator;Seema Khan;Northwestern University;Professor
NCT00953537;Centre Antoine Lacassagne;OTHER;;;['Breast Cancer'];Interventional;Jean Marc Ferrero, MD;Centre Antoine Lacassagne;Principal Investigator;Sponsor;;;
NCT00954135;University of Turin, Italy;OTHER;;;['Breast Cancer'];Interventional;Alfredo Berruti, MD;Medical Oncology, Department of clinical and biological sciences Univerity of Turin;Study Chair;;;;
NCT00954135;University of Turin, Italy;OTHER;;;['Breast Cancer'];Interventional;Daniele Generali, MD;Breast Unit Azienda Ospedaliera Istituti Ospitalieri Cremona;Principal Investigator;;;;
NCT00954135;University of Turin, Italy;OTHER;;;['Breast Cancer'];Interventional;Alberto Bottini, MD;Breast Unit Azienda Ospedaliera Istituti Ospitalieri Cremona;Study Director;;;;
NCT00954564;Vanderbilt University Medical Center;OTHER;['American Cancer Society, Inc.'];['OTHER'];['Arthralgia', 'Breast Cancer'];Observational;Liana Castel, PhD, MSPH;Vanderbilt-Ingram Cancer Center;Principal Investigator;Sponsor;;;
NCT00955890;Fudan University;OTHER;;;['Breast Cancer'];Interventional;xichun Hu, MD;member of Fudan University;Principal Investigator;Principal Investigator;Xichun Hu;Fudan University;Dr
NCT00956384;University Health Network, Toronto;OTHER;['Tom Baker Cancer Centre'];['OTHER'];['Breast Cancer'];Interventional;Toni Zhong, MD FRCS(C);University Health Network, Toronto;Principal Investigator;Sponsor;;;
NCT00956384;University Health Network, Toronto;OTHER;['Tom Baker Cancer Centre'];['OTHER'];['Breast Cancer'];Interventional;Mitchell Brown, MD FRCS(C);Women's College Hospital;Principal Investigator;Sponsor;;;
NCT00956384;University Health Network, Toronto;OTHER;['Tom Baker Cancer Centre'];['OTHER'];['Breast Cancer'];Interventional;Stefan Hofer, MD FRCS(C);University Health Network, Toronto;Principal Investigator;Sponsor;;;
NCT00956384;University Health Network, Toronto;OTHER;['Tom Baker Cancer Centre'];['OTHER'];['Breast Cancer'];Interventional;John Semple, MD FRCS(C);Women's College Hospital;Principal Investigator;Sponsor;;;
NCT00956384;University Health Network, Toronto;OTHER;['Tom Baker Cancer Centre'];['OTHER'];['Breast Cancer'];Interventional;Brett Beber, MD FRCS(C);Women's College Hospital;Principal Investigator;Sponsor;;;
NCT00956813;Alliance for Clinical Trials in Oncology;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Hot Flashes', 'Menopausal Symptoms', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;Debra Barton, RN, PhD, AOCN, FAAN;Mayo Clinic;Study Chair;Sponsor;;;
